AFGL 4029,"	 14.4"," 	1.56","	 1.36   ","	1.74","	80","	0.1","	0.21(22)","	8","	74","	0.0","	62","	27","	0.5","	0.97 	"
         ,51.2,11.2,1.43,1.36,80,"	0.1","	0.21(21)","	12","	88","	0.0","	47","	40","	0.5","	1.6 "
         ,60.9,15.6,1.64,1.16,160,"	0.3","	0.17(17)","	48","	88","	15.2","	14","	77","	1.1","	0.34 	"
         ,72.9,21.4,1.73,1.07,"	30","	1.0","	0.04(4)","	12","	62","	13.1","	6","	53","	1.9","	4.1 "
         ,81.8,23.1,2.12,1.55,50,"	0.3","	0.09(10)","	12","	51","	15.2","	22","	46","	1.0","	2.4 	"
         ,84.1,22.7,1.97,1.47,60,"	0.3","	0.10(10)","	16","	62","	4.0","	19","	56","	1.1","	3.6 "
AFGL 437 ,46.1, \nodata,"	 15.2   ",0.29,"	50","	0.1","	0.16(17)","	12","	80","	7.5","	15","	59","	0.3","	1.4 	"
         ,85.2, \nodata,"	 5.69   ",0.53,60,"	1.0","	0.06(6)","	24","	89","	16.8","	 5","	71","	1.9","	9.3 "
         ,98.3, \nodata,"	 4.31   ",0.32,50,"	0.3","	0.09(9)","	16","	77","	2.6","	 8","	68","	0.7","	3.1 "
         ,495.1, \nodata,"	 636.5  ",0.51,20,"	3.2","	0.02(2)","	 4","	39","	0.0","	12","	34","	3.1","	0.3 "
         ,"	609.6", \nodata,"	 723.6  ","	0.04","	10","	3.2","	0.01(1)","	 2","	39","	0.0","	 6","	35","	1.8","	0.3 		"
IRAS 07299,4.49, \nodata,1.77,0.9,240,"	0.1","	0.36(44)","	12","	89","	48.5","	211","	19","	0.9","	2.0 "
         ,4.65, \nodata,1.99,1.07,200,"	0.1","	0.33(40)","	12","	89","	51.5","	174","	20","	0.8","	2.0 "
         ,29.5, \nodata,17.2,"	0.62",240,"	0.1","	0.36(44)","	8","	89","	6.1","	226","	13","	0.7","	1.1 "
         ,36.3, \nodata,16.2,0.86,"	80","	0.3","	0.12(14)","	16","	89","	12.1","	42","	42","	1.5","	4.2 "
         ,89.8, \nodata,49.69,1.16,400,"	0.1","	0.47(57)","	8","	62","	0.0","	386","	10","	0.8","	1.0 			"
G35.20$-$0.74,43.4,63.7,"	 33.1   ","	2.60",480,"	0.1","	0.51(48)","	16","	48","	40.4","	440","	15","	1.2","	3.9 	"
         ,51.2,36.5,20.2,2.76,200,"	0.3","	0.19(17)","	12","	22","	43.4","	173","	17","	1.9","	4.0 "
         ,63.7,27.3,15,2.79,80,"	3.2","	0.04(3)","	12","	39","	15.2","	58","	22","	8.4","	5.0 	"
         ,206.9,921.3,507.3,2.62,100,"	3.2","	0.04(4)","	12","	34","	28.3","	77","	20","	9.4","	5.2 	"
         ,242.9,1015.5,550.9,2.78,320,"	0.1","	0.42(39)","	24","	68","	81.8","	256","	27","	1.2","	8.4 "
G45.47$+$0.05,86.1, \nodata,"	 10.3   ","	1.20",200,"	3.2","	0.06(1)","	32","	89","	61.6","	140","	25","	16.9","	46.0 		"
         ,123.1, \nodata,13.7,1.33,320,"	1.0","	0.13(3)","	48","	89","	46.5","	200","	35","	9.3","	50.9 "
         ,148.4, \nodata,16.7,1.68,320,"	1.0","	0.13(3)","	32","	68","	15.2","	252","	24","	8.2","	27.4 	"
         ,154, \nodata,17.5,1.62,240,"	1.0","	0.11(3)","	32","	83","	2.0","	170","	30","	7.2","	25.7 "
         ,171.9, \nodata,19.3,1.71,240,"	1.0","	0.11(3)","	24","	55","	0.0","	192","	23","	6.6","	17.2 "
IRAS 20126,11.4, \nodata,"	 7.91   ","	4.24",200,"	0.1","	0.33(41)","	8","	80","	21.2","	181","	14","	0.7","	0.9 "
         ,82.6, \nodata,8.31,2.38,80,"	0.3","	0.12(15)","	12","	44","	73.7","	53","	31","	1.4","	3.4 	"
         ,161, \nodata,8.08,2.29,200,"	0.1","	0.33(41)","	12","	89","	65.7","	174","	20","	0.8","	2.0 "
         ,165.6, \nodata,"	 5.02   ","	1.88",80,"	0.3","	0.12(15)","	16","	80","	33.3","	42","	42","	1.5","	4.2 		"
         ,179.6, \nodata,8.14,2.4,100,"	0.3","	0.13(16)","	16","	51","	68.7","	61","	36","	1.6","	4.5 "
         ,207.5, \nodata,6.93,2.16,120,"	0.3","	0.14(18)","	24","	74","	69.7","	57","	47","	1.8","	9.3 	"
Cepheus A,6.83,"  	  8.91",  \nodata,2.43,480,"	0.1","	0.51(150)","	12","	89","	84.8","	457","	12","	1.1","	2.4 "
         ,51.1,"  	  72.4",  \nodata,2.31,160,"	0.3","	0.17(49)","	12","	29","	100.0","	135","	20","	1.8","	3.8 	"
         ,58,"  	  90.1",  \nodata,3.06,120,"	0.3","	0.14(42)","	12","	65","	62.6","	93","	24","	1.6","	3.6 "
         ,63.2,"  	  93.5","	\nodata",2.23,160,"	0.3","	0.17(49)","	16","	44","	95.9","	125","	26","	2.0","	5.0 		         "
         ,85.9,127.7, \nodata,2.78,160,"	0.3","	0.17(49)","	24","	83","	100.0","	98","	37","	2.2","	9.9 "
NGC 7538 ,27.3,  \nodata,11.1,0.19,320,"	0.1","	0.42(32)","	16","	39","	2.02","	281","	19","	1.1","	3.7 "
         ,30.4,  \nodata,"	   11.9 ",0.15,400,"	0.1","	0.47(36)","	16","	22","	22.2","	364","	17","	1.1","	3.8 		"
         ,30.7,  \nodata,12.7,0.42,480,"	0.1","	0.51(40)","	16","	22","	18.2","	440","	15","	1.2","	3.8          	"
         ,58.2,  \nodata,5.85,0.35,240,"	0.1","	0.36(28)","	24","	39","	52.5","	171","	33","	1.1","	8.2 "
         ,152.6, \nodata,136.5,0.53,60,"	3.2","	0.03(2)","	12","	34","	21.2","	38","	27","	7.6","	5.0 "
